product_name,sds_filename,database_match,match_confidence,signal_word,hazard_statements,precautionary_statements,response_statements,components_determining_hazard,first_aid,storage,disposal,un_number,proper_shipping_name,hazard_class,packing_group,emergency_response_guide,extraction_confidence,processing_notes,processing_timestamp
Surface Shine,Acetone-sds.pdf,Surface Shine,0.3846153846153846,DANGER,H225 Highly flammable liquid and vapour. H319 Causes serious eye irritation. H336 May cause drowsiness or dizziness. H305 May be harmful if swallowed and enters airways.,P210 Keep away from heat/sparks/open flames/hot surfaces. - No smoking. P233 Keep container tightly closed. P240 Ground/bond container and receiving equipment. P241 Use explosion - proof electrical/ ventilating/ lighting/ equip ment. P242 Use only non - sparking tools. P243 Take precautionary measures against static discharge. P280 Wear protective gloves/ protective clothing/ eye protection/ face protection. P264 Wash hands thoroughly after handling.,,Synonyms CAS No. Concentration (%) Acetone acetone 67 - 64 - 1 <= 100 B enzene benzene 71 - 43 - 2 <= 0.003 Note: All WHMIS required information is included in appropriate,Version 1 Acetone Clear,Statements: P403 + P233 Store in a well - ventilated place. Keep container tightly closed. P235 Keep cool. P405 Store locked up.,"Waste from residues: Recover or recycle if possible. It is the responsibility of the waste generator to determine the toxicity and physical properties of the material generated to determine the proper waste classification and disposal meth - ods in compliance with applicable regulations. Do not dispose into the environment, in drains or in water courses Waste product should not be allowed to contaminate soil or water. Contaminated pac kaging: Drain container thoroughly. After draining, vent in a safe place away from sparks and fire. Residues may cause an explosion hazard. Do not, puncture, cut, or weld uncleaned drums. Send to drum recoverer or metal reclaimer. Local L egislation Remar ks: Local regulations may be mor e stringent than regional or na tional requirements and must be complied with. Disposal should be in accordance with applicable regional, national, and local laws and regulations. Comply with any local recovery or waste disposal regulations. 14.1 U.S. Department of",,Acetone,Number and Description: 3,Packing Group: II,,86,Low product match confidence,2025-09-25T06:16:52.427Z
All Shield EX,All-Shield-EX-sds.pdf,All Shield EX,1,DANGER,"Highly flammable liquid and vapour May be fatal if swallowed and enters airways May cause drowsiness or dizziness Causes skin irritation. Causes serious eye irritation. Flammable liquid Category 3 - Aspiration hazard. Category 1 - Specific target organ toxicity, single exposure; Narcotic effects. Category 3 - Skin",,,"WT% CAS No. EINECS No. Hazard Classification Fluorinated Acrylic Copolym </= 2% Proprietary Alkanes, C11-15-iso- </=1.8% 90622-58-5 Distillates, Petroleum, Hydrotreated Light </= 5.3% 64742-48-9 Dipropylene Glycol Methyl Ether </= 1.8% 34590-94-8 PARACHLOROBENZOTRI ORIDE 80 – 95% 98-56-6 Balance of other ingredients are non-hazardous or less than 1% in concentration (or 0.1% for carcinogens, reproductive toxins, or respiratory sensitizers). Note: All WHMIS required information is included in appropriate","Eye Contact: Flush with large amounts of water. Remove contact lenses if easy to do so. Continue rinsing. If signs/symptoms develop, get medical attention.",Statements: Store in a well-ventilated place. Keep container tightly closed. Keep cool. Store locked up. Version 1 pg. 3 All Shield EX,"must be in accordance with appropriate U.S. Federal, State, and local regulations, those of Australia, EU Member States and Japan. 13.2 EU Waste Code: Not determined 14.1 U.S. Department of",,"Flammable liquids, n.o.s. (Contains: Petroleum Distillate, Para-chlorobenzotrifluorides)",Number and Description: Class 3,Packing Group: III,,71,,2025-09-25T06:16:52.471Z
All Shield SB,All-Shield-SB-sds.pdf,All Shield SB,1,DANGER,"Highly flammable liquid and vapour May be fatal if swallowed and enters airways May cause drowsiness or dizziness Causes skin irritation. Causes serious eye irritation. Flammable liquid Category 3 - Aspiration hazard. Category 1 - Specific target organ toxicity, single exposure; Narcotic effects. Category 3 - Skin",,,"WT% CAS No. EINECS No. Hazard Classification Fluorinated Acrylic Copolymer </= 2% Proprietary Alkanes, C11-15-iso- </=1.8% 90622-58-5 Distillates, Petroleum, Hydrotreated Light </= 5.3% 64742-48-9 Dipropylene Glycol Methyl Ether </= 1.8% 34590-94-8 Aromatic Hydrocarbon 80 – 95% 64742-95-6 265-199-0 Balance of other ingredients are non-hazardous or less than 1% in concentration (or 0.1% for carcinogens, reproductive toxins, or respiratory sensitizers). Note: All WHMIS required information is included in appropriate","Eye Contact: Flush with large amounts of water. Remove contact lenses if easy to do so. Continue rinsing. If signs/symptoms develop, get medical attention. Skin Contact: IF ON SKIN (or hair): Remove/Take off immediately all contaminated clothing. Rinse skin with water/shower. If skin irritation occurs: Get medical advice/attention.",Statements: Store in a well-ventilated place. Keep container tightly closed. Keep cool. Store locked up. Version 1 pg. 3 All Shield EX,"must be in accordance with appropriate U.S. Federal, State, and local regulations, those of Australia, EU Member States and Japan. 13.2 EU Waste Code: Not determined 14.1 U.S. Department of",,"Flammable liquids, n.o.s. (Contains: Petroleum Distillate)",Number and Description: Class 3,Packing Group: III,,71,,2025-09-25T06:16:52.524Z
All Shield WB,All-Shield-WB-sds.pdf,All Shield WB,1,WARNING,Causes serious eye irritation . Causes mild skin irritation . May be harmful if swallowed . May cause respiratory irritation,Prevention Wash hands and exposed skin thoroughly after handling. Wear eye protection/face protection . Avoid breathing dust/fume/gas/mist/ vapors /spray. Use only outdoors or in a well - ventilated area.,,,,Store in a well - ventilated place. Keep container tightly closed. Store locked up.,"Dispose of contents/container in accordance with local/national/international regulations. Ingredients CAS No. Precent (%) Silane/siloxane emulsion Proprietary 30.0 Water 7732 - 18 - 5 70.0 Skin Contact: Wash affected areas with plenty of water and soap for several minutes. Call a physician if irritation develops. Eye Contact: First rinse eyes with water. Remove any contact lenses and continue washing with running water for at least 15 minutes. Call a physician if irritation develops. Inhalation: If inhaled, remove the affected individual immediately to fresh air. Call a physician if respiratory irritation develops or if breathing becomes difficult.",,,,,,43,Low extraction confidence,2025-09-25T06:16:52.550Z
Aqua Shine,Aqua-Plug-sds.pdf,Aqua Shine,0.5,DANGER,Causes skin irritation. Causes serious eye damage. May cause an allergic skin reaction. May cause cancer. May be harmful if swallowed. May cause respiratory irritation. Causes damage to organs through prolonged or repeated exposure.,"Wash hands thoroughly after handling. Contaminated work clothing must not be allowed out of the workplace. Obtain special instructions before use. Do not handle until all safety precautions have been read and understood. Wear protective gloves, protective clothing, eye protection, and face protection. Use only outdoors or in a well-ventilated area. Do not breathe dust. Do not eat, drink or smoke when using this product.",,WT% CAS No. Crystalline Silica (Quartz)/ Silica Sand 30-50% 14808-60-7 Sodium Aluminate < 1% 1302-42-7 Amorphous Silica Fume 1-3% 69012-64-2 Portland Cement 50-70% 65997-15-1 Note: All WHMIS required information is included in appropriate,"Eye Contact: In case of contact, immediately flush eyes with plenty of water for at least 15 minutes. If easy to do, remove contact lenses, if worn. Get medical attention immediately. Skin Contact: In case of contact, immediately flush skin with plenty of water. Remove contaminated clothing and shoes. Wash clothing before reuse. Call a physician if irritation develops and persists. Inhalation: If breathing is difficult, remove victim to fresh air and keep at rest in a position comfortable for breathing. Give oxygen if breathing is difficult. Give artificial respiration if not breathing. Get medical advice/attention if you feel unwell. Ingestion: If swallowed, do NOT induce vomiting unless directed to do so by medical personnel. Never give anything by mouth to an unconscious person. Give 2 cupfuls of water if victim is conscience and alert. Get medical advice/attention. 4.2 Symptoms and Effects Both Acute and Delayed: Eye Contact: Causes serious eye damage. Symptoms may include discomfort or pain, excess blinking and tear production, with marked redness and swelling of the conjunctiva. May cause burns in the presence of moisture. Skin Contact: Causes skin irritation. May cause burns in the presence of moisture. Skin contact during hydration may slowly develop sufficient heat that may cause severe burns possibly resulting in permanent injury. Do not allow product to harden around any body part or allow continuous, prolonged contact with skin. Handling can cause dry skin. May cause sensitization by skin contact.",area. Do not store in an area equipped with emergency water sprinklers. Use corrosion-resistant structural materials and lighting and ventilation systems in the storage area. (See,"container. Provide adequate ventilation. 7.1 Precautions for Safe Handling: Keep out of the reach of children. Store in dust-tight, dry, labeled containers. Keep containers closed when not in use. Avoid any dust buildup by frequent cleaning and suitable construction of the storage area. Do not store in an area equipped with emergency water sprinklers. Use corrosion-resistant structural materials and lighting and ventilation systems in the storage area. (See",,Not regulated,Number and Description: Not applicable,Not applicable,,86,Low product match confidence,2025-09-25T06:16:52.585Z
Aqua Shine,Aqua-Shine-sds.pdf,Aqua Shine,1,DANGER,H320 Causes eye irritation,P264 Wash thoroughly after handling,P305+P351+P338 IF IN EYES: Rinse cautiously with water for several minutes. P337+P313 If eye irritation persists: Get medical advice/ attention.,"WT% CAS No. EINECS No. Hazard Classification Propylene glycol ether < 3% 770-35-4 212-22-7 Eye Irrit. 2 Balance of other ingredients are non-hazardous or less than 1% in concentration (or 0.1% for carcinogens, reproductive toxins, or respiratory sensitizers). Note: All WHMIS required information is included in appropriate","Eye Contact: If product enters the eyes, flush with plenty of water or eye wash solution for several minutes. Remove contacts if present and easy to do. Seek medical attention if irritation persists. Skin Contact: Wash skin thoroughly with soap and water after handling. Seek medical attention if irritation develops and persists. Inhalation: If breathing becomes difficult, remove victim to fresh air. If necessary, use artificial respiration to support vital functions. Seek medical attention. Ingestion: If product is swallowed, call physician or poison center if you feel unwell. If professional advice is not available, do not induce vomiting.",and use. 10.3 Possibility of Hazardous Reactions: Will not occur. 10.4 Conditions to Avoid: Avoid excessive temperatures. 10.5 Incompatible Substances: Strong oxidizing agents.,". • Approach spill areas with caution. • If liquid was introduced, create a dike or trench to contain material. • Soak up with absorbent material such as clay, sand or other suitable non-reactive material. Large Spills: • Place in leak-proof containers. Seal tightly for proper disposal. • Dispose of in accordance with U.S. Federal, State, and local hazardous waste disposal regulations and those of Canada and its Provinces, those of Australia, Japan and EU Member States (see",,Not regulated,Number and Description: Not applicable,Not applicable,,86,,2025-09-25T06:16:52.615Z
Berry Clean,Berry-Clean-sds.pdf,Berry Clean,1,DANGER,H226 Flammable liquid and vapour. H302 Harmful if swallowed H312 Harmful in contact with skin H332 Harmful if inhaled H304 May be fatal if swallowed and enters airways. H315 Causes skin irritation. H317 May cause an allergic skin reaction H319 Causes serious eye irritation H410 Very toxic to aquatic life with long lasting effects.,,,"WT% CAS No. EINECS No. Hazard Classification Acetone < 50% 67 - 64 - 1 200 - 662 - 2 Flam Liq Cat 2, Eye Irrit Cat 2A, STOT SE CAT 3 ( Resp Irrit and CNS)","Eye Contact: If product enters the eyes, flush with plenty of water or eye wash solution for several minutes. Remove contacts if present and easy to do. Seek medical attention if irritation persists. Skin Contact: Wash skin thoroughly with soap and water after handling. Seek medical attention if irritation develops and persists. Inhalation: If breathing becomes difficult, remove victim to fresh air. If necessary, use artificial respiration to support vital functions. Seek medical attention. Ingestion: If product is swallowed, call physician or poison center immediately. If professional advice is not available, do not induce vomiting. Never induce vomiting or give dilutents (milk or water) to someone who is unconscious, having convulsions, or who cannot swallow. Seek medical advice. Take a copy of the label and/or SDS with the victim to the health professional. Medical Conditions Generally Aggravated By Exposure: Pre-existing skin, respiratory system or eye problems may be aggravated by prolonged contact. 4.2 Symptoms and Effects Both Acute and Delayed: Exposure to skin, eyes, and respiratory system may cause irritation. May cause headaches, drowsiness, or dizziness. Aspiration hazard. 4.3 Recommendations to Physicians: Treat symptoms and eliminate overexposure. 5.1",Statements: P403+P235 Store in a well-ventilated place. Keep cool. P405 Store locked up,". • Approach spill areas with caution. • If liquid was introduced, create a dike or trench to contain material. • Soak up with absorbent material such as clay, sand or other suitable non-reactive material. Large Spills: • Place in leak-proof containers. Seal tightly for proper disposal. • Dispose of in accordance with U.S. Federal, State, and local hazardous waste disposal regulations and those of Canada and its Provinces, those of Australia, Japan and EU Member States (see",,"Flammable Liquids, n.o.s. (Contains p-Chloro-a,a,a- trifluorotoluene, Acetone)",Number and Description: Class 3 – Flammable Liquids,Packing Group: II,,71,,2025-09-25T06:16:52.665Z
Bio Strip WB,Bio-Strip-WB-Concentrate-sds.pdf,Bio Strip WB,1,NOT,Not Applicable,Not Applicable,Not Applicable,"WT% CAS No. EINECS No. Hazard Classification Balance of other ingredients are non-hazardous or less than 1% in concentration (or 0.1% for carcinogens, reproductive toxins, or respiratory sensitizers). Note: All WHMIS required information is included in appropriate","Eye Contact: If product enters the eyes, flush with plenty of water or eye wash solution for several minutes. Remove contacts if present and easy to do. Seek medical attention if irritation persists. Skin Contact: Wash skin thoroughly with soap and water after handling. Seek medical attention if irritation develops and persists. Inhalation: If breathing becomes difficult, remove victim to fresh air. If necessary, use artificial respiration to support vital functions. Seek medical attention. Ingestion: If product is swallowed, call physician or poison center immediately. If professional advice is not available, do not induce vomiting. Never induce vomiting or give dilutents (milk or water) to someone who is unconscious, having convulsions, or who cannot swallow. Seek medical advice. Take a copy of the label and/or SDS with the victim to the health professional. Medical Conditions Generally Aggravated By Exposure: Pre-existing skin, respiratory system or eye problems may be aggravated by prolonged contact. 4.2 Symptoms and Effects Both Acute and Delayed: Exposure to skin may cause irritation.",Statements: Not Applicable.,". • Approach spill areas with caution. • If liquid was introduced, create a dike or trench to contain material. • Soak up with absorbent material such as clay, sand or other suitable non-reactive material. Large Spills: • Place in leak-proof containers. Seal tightly for proper disposal. • Dispose of in accordance with U.S. Federal, State, and local hazardous waste disposal regulations and those of Canada and its Provinces, those of Australia, Japan and EU Member States (see",,Not regulated,Number and Description: Not applicable,Not applicable,,86,,2025-09-25T06:16:52.692Z
Bio Strip WB,Bio-Strip-WB-sds.pdf,Bio Strip WB,1,NOT,Not Applicable,Not Applicable,Not Applicable,"WT% CAS No. EINECS No. Hazard Classification Balance of other ingredients are non-hazardous or less than 1% in concentration (or 0.1% for carcinogens, reproductive toxins, or respiratory sensitizers). Note: All WHMIS required information is included in appropriate","Eye Contact: If product enters the eyes, flush with plenty of water or eye wash solution for several minutes. Remove contacts if present and easy to do. Seek medical attention if irritation persists. Skin Contact: Wash skin thoroughly with soap and water after handling. Seek medical attention if irritation develops and persists. Inhalation: If breathing becomes difficult, remove victim to fresh air. If necessary, use artificial respiration to support vital functions. Seek medical attention. Ingestion: If product is swallowed, call physician or poison center immediately. If professional advice is not available, do not induce vomiting. Never induce vomiting or give dilutents (milk or water) to someone who is unconscious, having convulsions, or who cannot swallow. Seek medical advice. Take a copy of the label and/or SDS with the victim to the health professional. Medical Conditions Generally Aggravated By Exposure: Pre-existing skin, respiratory system or eye problems may be aggravated by prolonged contact. 4.2 Symptoms and Effects Both Acute and Delayed: Exposure to skin may cause irritation. 4.3 Recommendations to Physicians: Treat symptoms and eliminate overexposure.",Statements: Not Applicable.,". • Approach spill areas with caution. • If liquid was introduced, create a dike or trench to contain material. • Soak up with absorbent material such as clay, sand or other suitable non-reactive material. Large Spills: • Place in leak-proof containers. Seal tightly for proper disposal. • Dispose of in accordance with U.S. Federal, State, and local hazardous waste disposal regulations and those of Canada and its Provinces, those of Australia, Japan and EU Member States (see",,Not regulated,Number and Description: Not applicable,Not applicable,,86,,2025-09-25T06:16:52.719Z
C-Set,C-Set-sds.pdf,C-Set,1,WARNING,H302 Harmful if swallowed H315 Causes skin irritation H319 Causes serious eye irritation,"P264 Wash thoroughly after handling. P270 Do not eat, drink or smoke when using this product. P280 Wear protective gloves/ protective clothing/ eye protection/ face protection.",,"WT% CAS No. EINECS No. Hazard Classification Water 60-75% 7732-18-5 215-185-5 None Calcium chloride 20-40% 10043-52-4 233-140-8 Acute Tox. 0, Skin Irrit. 2, Eye Irrit. 2A Note: All WHMIS required information is included in appropriate","Eye Contact: If product enters the eyes, flush with plenty of water or eye wash solution for several minutes. Remove contacts if present and easy to do. Seek medical attention if irritation persists. Skin Contact: Wash skin thoroughly with soap and water after handling. Seek medical attention if irritation develops and persists. Inhalation: If breathing becomes difficult, remove victim to fresh air. If necessary, use artificial respiration to support vital functions. Seek medical attention. Ingestion: If product is swallowed, call physician or poison center immediately. If professional advice is not available, do not induce vomiting. Never induce vomiting or give dilutents (milk or water) to someone who is unconscious, having convulsions, or who cannot swallow. Seek medical advice. Take a copy of the label and/or SDS with the victim to the health professional. Medical Conditions Generally Aggravated By Exposure: Pre-existing skin, respiratory system or eye problems may be aggravated by prolonged contact. 4.2 Symptoms and Effects Both Acute and Delayed: Exposure to skin and eyes may cause irritation. 4.3 Recommendations to Physicians: Treat symptoms and eliminate overexposure. 5.1",Statements: None,". • Approach spill areas with caution. • If liquid was introduced, create a dike or trench to contain material. • Soak up with absorbent material such as clay, sand or other suitable non-reactive material. Large Spills: • Place in leak-proof containers. Seal tightly for proper disposal. • Dispose of in accordance with U.S. Federal, State, and local hazardous waste disposal regulations and those of Canada and its Provinces, those of Australia, Japan and EU Member States (see",,Not regulated,Number and Description: Not applicable,Not applicable,,86,,2025-09-25T06:16:52.747Z
